Customer,Restaurant,Dish Ordered,Rating,Date of Visit,Feedback,Price of Dish Ordered,Quantity
Chris Smith,McDonalds,Sushi,,,,5,4
Sarah Rodriguez,Burger King,Pasta,1,1/22/2023,Good service,20,3
,,,,,,5,1
Jane Brown,McDonalds,Fries,2,1/24/2023,Good service,5,1
Michael Johnson,McDonalds,,4,1/21/2023,Good service,5,1
 Emily Garcia ,McDonalds,Nuggets,1,2/3/2023,,25,5
Sarah Williams,McDonalds,Taco,5,1/14/2023,Good service,10,4
 James Rodriguez ,Dominos,Sushi,2,2/4/2023,Good service,20,5
 Jane Martinez ,Subway,Pasta,1,2/1/2023,,25,4
  ,KFC,Salad,3,,,25,5
 Emily Miller ,McDonalds,Taco,1,1/31/2023,Good service,25,5
 James Rodriguez ,Dominos,Sushi,2,2/4/2023,Good service,25,3
James Brown,McDonalds,Sushi,1,1/15/2023,Good service,25,5
James Jones,,Fries,,1/18/2023,Good service,15,2
James Martinez,KFC,Salad,1,1/3/2023,Good service,20,3
Alex Smith,Dominos,Fries,,1/26/2023,Good service,25,5
,,,,,,20,1
James Garcia,Burger King,,4,1/25/2023,Good service,15,2
,,,,,,15,2
,KFC,Salad,3,2/2/2023,Good service,20,2
 Emily Garcia ,McDonalds,Sandwich,3,,,5,3
 Sarah Jones ,Burger King,Fries,1,1/23/2023,Good service,10,5
Alex Davis,Dominos,Sandwich,1,1/4/2023,,5,
Katie Martinez,Subway,Sushi,5,,Good service,,1
 Katie Jones ,Subway,Sandwich,4,1/8/2023,,5,1
,,,,,,25,
 Jane Brown ,,Nuggets,1,1/20/2023,Good service,15,1
 Sarah Rodriguez ,Burger King,Pasta,1,1/22/2023,Good service,5,
 James Brown ,Dominos,Sandwich,4,1/1/2023,Good service,,5
  ,Burger King,Burger,3,1/19/2023,,,2
Michael Williams,McDonalds,Sushi,3,1/16/2023,Good service,10,1
Katie Jones,Subway,Sandwich,4,1/8/2023,,20,3
  ,Burger King,Burger,3,1/19/2023,,20,3
 Jane Miller ,McDonalds,Pizza,,1/29/2023,Good service,25,1
 Laura Jones ,KFC,,1,1/5/2023,Good service,10,
 Laura Jones ,,Wrap,1,1/2/2023,Good service,20,1
Emily Johnson,KFC,Sandwich,2,1/27/2023,Good service,20,2
,,,,,,10,1
  ,Dominos,Fries,1,1/13/2023,,,3
 Laura Williams ,Subway,Pasta,1,1/7/2023,,20,1
 Sarah Williams ,McDonalds,Taco,5,1/14/2023,Good service,10,5
Chris Williams,McDonalds,Sandwich,2,1/17/2023,Good service,20,4
 Katie Johnson ,,Pasta,1,1/10/2023,Good service,20,1
 Jane Garcia ,Subway,Burger,5,1/9/2023,Good service,25,5
Sarah Miller,Dominos,,3,1/12/2023,Good service,5,5
